('ex', 1.0000000000000002)
('prado', 0.4037959217036246)
('saúl', 0.3662335103823572)
('ruta', 0.35964730350387936)
('guerrero', 0.3309300335431857)
('gobierno', 0.32651368118623103)
('secretario', 0.3236898705167221)
('liquidación', 0.3224970216983856)
('ulloa', 0.3220305943597653)
('trabajador', 0.28013390317605)
('desaparecido', 0.2727723627949905)
('quiebra', 0.26989072012038967)
('recibir', 0.2591098733296801)
('coordinador', 0.2587745847533829)
('presuponer', 0.25865685673290884)
('oficina', 0.2547550855426267)
('mil', 0.253514846750224)
('respectivamente', 0.252178138612001)
('sindicato', 0.2438307823284362)
('liévano', 0.24246432248443603)
('peso', 0.23873871870322383)
('hectárea', 0.23675980058383939)
('alrededor', 0.23287937700192393)
('seccionales', 0.23145502494313788)
('empresa', 0.2310586699755518)
('recoger', 0.23097828906119444)
('robledo', 0.2300218531141181)
('dirigente', 0.2282455960058202)
('decir', 0.22795883518008053)
('hacer', 0.22624451060895467)
('empleado', 0.21994295969128608)
('propiedad', 0.2187044413199266)
('hormiga', 0.21852076045841218)
('dos', 0.21852076045841215)
('castellano', 0.21830701333149327)
('acabado', 0.21821789023599242)
('auténtico', 0.2182178902359924)
('lazo', 0.2182178902359924)
('aproximadamente', 0.2177684193360495)
('total', 0.2161175729261621)
('flor', 0.2141798680385621)
('rodolfo', 0.21384434262392826)
('liquidar', 0.21306974220093333)
('millón', 0.21205643393876955)
('acudir', 0.21040932949551602)
('especie', 0.2085942393007329)
('ahorro', 0.20729198190977724)
('país', 0.20718040066668264)
('delgado', 0.20609467411177065)
('general', 0.20584492716314556)
('eduardo', 0.2057377999494559)
('gestión', 0.2057377999494559)
('inmueble', 0.2057377999494559)
('último', 0.20547588030163494)
('año', 0.20514832642708994)
('recurso', 0.20274449689522378)
('ayer', 0.20253897080048763)
('cuenta', 0.20176759156479993)
('constantino', 0.20003306604965967)
('domínguez', 0.20003306604965967)
('sarmiento', 0.20003306604965967)
('zepeda', 0.20003306604965967)
('stfrm', 0.19518001458970666)
('encanto', 0.19518001458970663)
('particular', 0.1944039478399348)
('cuatro', 0.1931818417602717)
('módulo', 0.19304683562633607)
('facilitar', 0.19287918745261493)
('muñoz', 0.19165538534512078)
('absalón', 0.19094065395649332)
('manejar', 0.1907240450904431)
('pedir', 0.1904761904761905)
('r', 0.1889822365046136)
('crucificar', 0.18790984992543794)
('méxico', 0.1864014066488148)
('municipio', 0.18560017589564867)
('desarrollo', 0.18539438900401564)
('parte', 0.18415951966208682)
('tres', 0.18283130411320253)
('además', 0.18205868122262475)
('ferrocarrileros', 0.18184824186332704)
('coincidir', 0.18184824186332701)
('contraloría', 0.18184824186332701)
('eraclio', 0.18184824186332701)
('fidel', 0.18184824186332701)
('heberto', 0.18184824186332701)
('stunam', 0.18184824186332701)
('indemnizaciones', 0.181848241863327)
('rector', 0.181848241863327)
('moral', 0.1803719873224486)
('pagar', 0.18004382591808668)
('económico', 0.17934560164596317)
('vender', 0.17822236204988112)
('presidente', 0.17800041753662538)
('partido', 0.17712914251787906)
('sutaur', 0.17578663380121612)
('fraude', 0.1757866338012161)
