('navarrete', 0.9999999999999998)
('arquitecto', 0.5413237098862541)
('borja', 0.4807364735249543)
('trayectoria', 0.4444783184923152)
('fundación', 0.39043440472151514)
('homenaje', 0.39043440472151514)
('vicepresidente', 0.3644054444067475)
('angel', 0.31429363309631014)
('arquitectura', 0.31288932387873186)
('generoso', 0.303686696705828)
('constante', 0.27628324232744655)
('rendir', 0.26507948099153394)
('reconocimiento', 0.24693239916239737)
('brindar', 0.23855936180684892)
('alumno', 0.23426064283290907)
('afán', 0.22086305214969307)
('docente', 0.20952908873087342)
('apoyo', 0.20869596778242053)
('alberto', 0.20721243174558493)
('profesional', 0.18938850476964253)
('unam', 0.18835264373920443)
('volatilidad', 0.17914359097500465)
('jugar', 0.1775925350191646)
('misma', 0.16685830369290808)
('facultad', 0.16593462200664394)
('largo', 0.151843348352914)
('obstáculo', 0.14256648712805023)
('gerente', 0.14198339066765983)
('puesto', 0.1391715599502847)
('postgrado', 0.13525044520011484)
('impulso', 0.13456562841903869)
('técnica', 0.13318543164240537)
('desequilibrios', 0.13281330062271493)
('asueto', 0.1301448015738384)
('industrial', 0.12892156936067814)
('trimestre', 0.12734006370835504)
('exportación', 0.12521758066945232)
('infraestructura', 0.12251277836633775)
('crecimiento', 0.1196495412667539)
('devaluación', 0.11927968090342446)
('armónico', 0.11713032141645453)
('perpetrar', 0.11713032141645453)
('profesor', 0.11713032141645453)
('cargo', 0.11523511960911878)
('grande', 0.11170823353028715)
('cierne', 0.11043152607484653)
('célebre', 0.11043152607484653)
('experimento', 0.11043152607484653)
('abrir', 0.10932163332202423)
('ocupar', 0.10736946129841665)
('albino', 0.10713431680111603)
('pasajero', 0.10713431680111603)
('ecológico', 0.10476454436543671)
('cooperación', 0.10423408756777446)
('construcción', 0.09979654098963517)
('papel', 0.09877295966495896)
('globalación', 0.09877295966495894)
('rasgo', 0.09877295966495894)
('parte', 0.09819917766236744)
('dificultad', 0.09563650695950074)
('pavimento', 0.09563650695950074)
('lugar', 0.09476309590709879)
('circulante', 0.09469425238482126)
('captar', 0.09417632186960222)
('invertir', 0.09278103996685647)
('director', 0.09223165981505653)
('completo', 0.0921062598117008)
('hidalgo', 0.0921062598117008)
('aterrizaje', 0.09188458377475332)
('vacacionistas', 0.09188458377475332)
('importante', 0.09173310665091429)
('cantidad', 0.09170839073866428)
('fomento', 0.09101362019613167)
('corzo', 0.09016696346674323)
('filial', 0.09016696346674323)
('frankenstein', 0.09016696346674323)
('huevo', 0.09016696346674323)
('minero', 0.09016696346674323)
('pundonor', 0.09016696346674323)
('universo', 0.09016696346674323)
('warlain', 0.09016696346674323)
('áócfel', 0.09016696346674323)
('dinero', 0.08957179548750231)
('razonamiento', 0.0885422004151433)
('reactivación', 0.0885422004151433)
('división', 0.08841598196121757)
('eficacia', 0.08834522085987723)
('desarrollo', 0.08816515597510402)
('tecnología', 0.08795517382972297)
('demandar', 0.08700221858486122)
('formatos', 0.08553989227683013)
('década', 0.08519977207387461)
('obligado', 0.08519977207387461)
('actividad', 0.0843001181139149)
('principal', 0.0843001181139149)
('bodrios', 0.08347838711296822)
('bulevar', 0.08347838711296822)
('consignación', 0.08347838711296822)
('dominante', 0.08347838711296822)
('dote', 0.08347838711296822)
('ilusión', 0.08347838711296822)
('ministro', 0.08347838711296822)
('pagaré', 0.08347838711296822)
('pescado', 0.08347838711296822)
('regalía', 0.08347838711296822)
('rocha', 0.08347838711296822)
('superar', 0.08347838711296822)
('economía', 0.08314908252711406)
('fundamentar', 0.0828236445561349)
('número', 0.0828236445561349)
('costo', 0.0819741488224292)
('empresa', 0.08181099875620797)
('enero', 0.08064778385455118)
('fiscal', 0.08054046806003506)
('opción', 0.0797663608445026)
('espera', 0.07969708913291729)
('marcha', 0.07969708913291729)
('octubre', 0.07947891356423484)
('organismo', 0.07931024859836384)
('lejano', 0.07808688094430304)
('afirmación', 0.07808688094430302)
('anillo', 0.07808688094430302)
('antimigratoria', 0.07808688094430302)
('aria', 0.07808688094430302)
('atracar', 0.07808688094430302)
('autopista', 0.07808688094430302)
('autrey', 0.07808688094430302)
('bloquear', 0.07808688094430302)
('borrego', 0.07808688094430302)
('canacintra', 0.07808688094430302)
('ceremonial', 0.07808688094430302)
('cfe', 0.07808688094430302)
('colgado', 0.07808688094430302)
('concamin', 0.07808688094430302)
('considerable', 0.07808688094430302)
('entorno', 0.07808688094430302)
('fastuoso', 0.07808688094430302)
('genaro', 0.07808688094430302)
('histérica', 0.07808688094430302)
('huatulco', 0.07808688094430302)
('imbecilidad', 0.07808688094430302)
('incosteabilidad', 0.07808688094430302)
('labriego', 0.07808688094430302)
('leinz', 0.07808688094430302)
('levante', 0.07808688094430302)
('maniobra', 0.07808688094430302)
('mazatlán', 0.07808688094430302)
('movilizar', 0.07808688094430302)
('municipal', 0.07808688094430302)
('nemias', 0.07808688094430302)
('nexo', 0.07808688094430302)
('pedregal', 0.07808688094430302)
('percance', 0.07808688094430302)
('piedra', 0.07808688094430302)
('premio', 0.07808688094430302)
('prestigio', 0.07808688094430302)
('profundidad', 0.07808688094430302)
('rapidez', 0.07808688094430302)
('receptor', 0.07808688094430302)
('residencial', 0.07808688094430302)
('romeo', 0.07808688094430302)
('rígido', 0.07808688094430302)
('toga', 0.07808688094430302)
('mercado', 0.0777083674166515)
('grado', 0.07702442489446452)
('sector', 0.07702442489446452)
('delincuente', 0.07689464481087924)
('jesús', 0.07689464481087924)
('riesgo', 0.0765704864789611)
('semana', 0.07640980184509015)
('cancún', 0.07600418879072098)
('económico', 0.07381349095975112)
