('capital', 1.0)
('ése', 0.3530090432487312)
('salir', 0.2917170541942624)
('sólo', 0.29024614158393414)
('país', 0.27478978210712984)
('empresa', 0.266248510642072)
('amortización', 0.25784397701617245)
('materia', 0.25580858896455017)
('grande', 0.2519288529988212)
('unir', 0.24880667576405965)
('atraer', 0.2480694691784169)
('año', 0.24621880639727872)
('poder', 0.24208953335485972)
('contribución', 0.24119095530943302)
('méxico', 0.24104106653424878)
('indicar', 0.235756783241583)
('obrera', 0.23574758339572235)
('credibilidad', 0.23533936216582083)
('trastocar', 0.23533936216582083)
('asir', 0.23469311162315062)
('directamente', 0.2338821384818745)
('principal', 0.2333720734253187)
('económico', 0.2297623660984923)
('originar', 0.22946425899003567)
('confianza', 0.22841019215633376)
('política', 0.2275531390848173)
('mayoría', 0.22698143635726026)
('decir', 0.2265534182625619)
('sustento', 0.2255335554089116)
('persona', 0.22418345688972685)
('busca', 0.22335370565104645)
('regional', 0.22237479499833035)
('planta', 0.22093687098702758)
('samsung', 0.2192645048267573)
('ello', 0.219093582749468)
('hacer', 0.21557501753518513)
('parte', 0.21147746721890678)
('dólar', 0.21109489284114566)
('desempleo', 0.20729404786719544)
('carretera', 0.20695933859617893)
('total', 0.20629640829507787)
('firma', 0.20568833780186058)
('tendencia', 0.20469129684700807)
('desplomar', 0.2046468711716402)
('dls', 0.2046468711716402)
('si', 0.2033499153649609)
('seguir', 0.20308176614901632)
('millón', 0.20283644631647205)
('extranjero', 0.20265333964279014)
('hermana', 0.20155644370746376)
('unido', 0.20155644370746373)
('tratado', 0.20116716288885012)
('sujeto', 0.2009592381171251)
('tasa', 0.19969207064108244)
('aumentar', 0.19889806323953876)
('central', 0.1986115028911352)
('berdejo', 0.19733805434408158)
('desnacionalizar', 0.19733805434408158)
('específicamente', 0.19733805434408158)
('ahuyentar', 0.19733805434408155)
('alliance', 0.19733805434408155)
('apoteótica', 0.19733805434408155)
('escolarización', 0.19733805434408155)
('inestabilidad', 0.19733805434408155)
('señalar', 0.19638832976624676)
('dispersar', 0.19611613513818402)
('diciembre', 0.19593446197724734)
('pobre', 0.19553847221876072)
('excelsior', 0.19478480979910115)
('importante', 0.1945240530148119)
('alianza', 0.1939727250419519)
('existir', 0.1937292372609954)
('financiero', 0.19311631546926833)
('pobreza', 0.19256212853980134)
('interesar', 0.19130891014037768)
('duplicar', 0.19002923751652306)
('hogar', 0.18988863132818745)
('sumar', 0.18959626990563436)
('cifra', 0.18921996671650643)
('demanda', 0.18919059935976243)
('todas', 0.18915119696438357)
('desarrollo', 0.1889072881627786)
('httpwwwexcelsiorcommxfinhtml', 0.18785449810279775)
('impacto', 0.18752289237539818)
('mil', 0.18728091927568363)
('penal', 0.18637482910274372)
('economía', 0.18618986725025255)
('automóvil', 0.1860521018838127)
('villegas', 0.1860521018838127)
('operar', 0.18550148776760106)
('decidir', 0.18528802431512612)
('crecer', 0.18480865406826685)
('hoy', 0.18465402396155273)
('sistema', 0.18439029824695435)
('puerta', 0.18418218405447614)
('pequeña', 0.18378769173357157)
('contemplar', 0.18287923898986375)
('alcanzar', 0.18283482006601323)
('china', 0.18243909577894496)
('desequilibrios', 0.18232322463624384)
('mexicano', 0.18089949782369108)
('mientras', 0.1803226312870337)
('nacional', 0.180321042410784)
('farmacia', 0.18027756377319945)
('llegar', 0.17967323569951626)
('recurso', 0.17908136627412224)
('político', 0.17752507291971892)
('cobrar', 0.17722938923964163)
('caso', 0.17699746694412774)
('autobús', 0.17650452162436564)
('clima', 0.1758027116019358)
('votar', 0.17571587400137864)
('mermar', 0.17541160386140586)
('ane', 0.17541160386140583)
('aurora', 0.17541160386140583)
('canaco', 0.17541160386140583)
('comprimido', 0.17541160386140583)
('esclarecimiento', 0.17541160386140583)
('estructural', 0.17541160386140583)
('grosse', 0.17541160386140583)
('ocultar', 0.17541160386140583)
('podrir', 0.17541160386140583)
('realpolitik', 0.17541160386140583)
('utopía', 0.17541160386140583)
('vínculo', 0.17541160386140583)
('ciudad', 0.17410020341463003)
('federal', 0.1738305501560506)
('igual', 0.17297634080890373)
('deuda', 0.17270828171466313)
('último', 0.17254272620545966)
('dos', 0.171957060829821)
('camino', 0.1718879127380821)
('requerir', 0.17121789136489313)
('todavía', 0.17089976819536873)
('bastante', 0.17054776006016165)
('históricamente', 0.17054776006016165)
('titular', 0.17054776006016165)
('esclarecer', 0.17027648939368195)
('pfc', 0.17027648939368192)
('dinero', 0.17020788944888732)
('mercado', 0.16975496752741948)
('distrito', 0.16921598557392756)
('clase', 0.1682904582015223)
('presentar', 0.16813456149534148)
('índice', 0.1681027870338473)
('convertir', 0.16798925775296086)
('crisis', 0.16772882803941694)
('reunión', 0.16698687189301853)
('después', 0.16675071441112455)
('mismo', 0.16668580066209926)
('equivalente', 0.16664102366833553)
('condicionar', 0.16647087014636358)
('problema', 0.16641005886756874)
('exportación', 0.1664100588675687)
('interés', 0.16590529811633545)
('noviembre', 0.1658711171760398)
('quedar', 0.16581556770943584)
('hora', 0.16581401596465686)
('mexicana', 0.16559266084124208)
('capitalización', 0.16556747087694315)
('quiebra', 0.16556568118084172)
('primero', 0.1645183417709124)
('referir', 0.16361923805203574)
('subrayar', 0.16268128799957746)
('alcayaga', 0.16268128799957743)
('obligación', 0.16263879859944053)
('anterior', 0.16172150801252796)
('siguiente', 0.1615941811129352)
('nota', 0.16124533191567786)
('encontrar', 0.16096872731710674)
('advertir', 0.16079397020628866)
('mundo', 0.16059143110156945)
('trabajo', 0.16059143110156945)
('deber', 0.16053821376921568)
('cerca', 0.16035039978824722)
('vigilancia', 0.1603503997882472)
('participación', 0.16031001434502057)
('ejemplo', 0.1602115321777276)
('recordar', 0.1602115321777276)
('u', 0.15953836117931888)
('grave', 0.15953836117931885)
('compromiso', 0.15947630641475335)
('octubre', 0.15947630641475335)
('pues', 0.15934388118685555)
('social', 0.15907119074394444)
('momento', 0.15901953586654938)
('gobierno', 0.1588906185078096)
('tiempo', 0.1588432862145954)
('peso', 0.15874660263857587)
('abatir', 0.15860619520032992)
('recuperar', 0.1582224404417422)
('propuesta', 0.15811388300841894)
('ascender', 0.15803168186794847)
('perspectiva', 0.15793491986899905)
('oficina', 0.15752427045264394)
('público', 0.15735745936193957)
('información', 0.1570019390507982)
('ayer', 0.15699372657850016)
('compacto', 0.15689290811054724)
('cubrir', 0.15689290811054724)
('asunto', 0.15650535813672986)
('dejar', 0.15631503171567185)
('toda', 0.15592142565458303)
('abril', 0.1558060869433639)
('adecuado', 0.15566235649883126)
('pago', 0.15566235649883123)
('doctrina', 0.15504341823651058)
('estable', 0.15504341823651058)
('paradigma', 0.15504341823651058)
('seccionales', 0.15504341823651058)
('suspensión', 0.15504341823651058)
('rebelde', 0.15504341823651055)
('número', 0.15500150894577694)
('policía', 0.15460935591454678)
('cuenta', 0.15460935591454675)
('ciento', 0.15423801411266513)
('esquema', 0.15422041580667495)
('red', 0.1540912490371446)
('lunes', 0.1540342958834478)
('fondo', 0.15351847263525603)
('arvizu', 0.15348515337873012)
('casar', 0.15348515337873012)
('cerda', 0.15348515337873012)
('costado', 0.15348515337873012)
('croc', 0.15348515337873012)
('elegía', 0.15348515337873012)
('equilibrar', 0.15348515337873012)
('independientedemocrático', 0.15348515337873012)
('inyección', 0.15348515337873012)
('inés', 0.15348515337873012)
('irrisorio', 0.15348515337873012)
('john', 0.15348515337873012)
('marginalmente', 0.15348515337873012)
('mirar', 0.15348515337873012)
('panorama', 0.15348515337873012)
('patricia', 0.15348515337873012)
('primaveraverano', 0.15348515337873012)
('sabedores', 0.15348515337873012)
('tanta', 0.15348515337873012)
('cualquier', 0.15333732983159676)
('actual', 0.15331725708047778)
('febrero', 0.15331325094954323)
('mayor', 0.15267620413811483)
('retener', 0.152362350055011)
('ruta', 0.15236235005501098)
('día', 0.15222818911265526)
('cristina', 0.15191090506255)
('cuatro', 0.15191090506254998)
('productivo', 0.15191090506254995)
('evitar', 0.1517020927232115)
('presidencia', 0.1509081818597876)
('institución', 0.15012502606879904)
('grado', 0.14939147822142396)
('entrar', 0.14939147822142393)
('ingresar', 0.14939147822142393)
('casi', 0.1493685099346723)
('cerrar', 0.1491905987582152)
('mauricio', 0.14917354742965402)
('mostrar', 0.14909986328219496)
('perdido', 0.14909986328219496)
('voto', 0.14909986328219493)
('cambiar', 0.14890247043403093)
('manera', 0.14873958709947932)
('httpwwwexcelsiorcommxnachtml', 0.14853136064104105)
('realizar', 0.14793869027203285)
('proyecto', 0.14786999708786228)
('salario', 0.14779213643667105)
('banco', 0.14746376548216011)
('afirmar', 0.1473752252367224)
('varios', 0.14729124732468504)
('vehículo', 0.14712186960878706)
('efectuar', 0.14657902694650266)
('además', 0.14634549548442888)
('moratoria', 0.146303391191891)
('autor', 0.14630339119189098)
('gastar', 0.14620444468267857)
('embate', 0.14617633655117154)
('allá', 0.14617633655117152)
('saber', 0.14606597312543337)
('debido', 0.14595127662315596)
('emitir', 0.14595127662315593)
('foro', 0.1458134780458502)
('pasado', 0.14570995016869567)
('capitalizar', 0.14560880150912262)
('pronosticar', 0.1454436184706849)
('acuerdo', 0.1448289209247969)
('problemática', 0.14470719035407653)
('aunque', 0.14465208269742488)
('agregar', 0.14465208269742486)
('establecer', 0.14465208269742486)
('bueno', 0.14456782097728046)
('accionar', 0.14445708739490537)
('ir', 0.14420115155490815)
('error', 0.1441874501821181)
('inmigración', 0.1441153384245784)
('control', 0.14410034437174438)
('medio', 0.14375639555482803)
('registrar', 0.14371262743216504)
('sino', 0.14349354293584857)
('inflación', 0.14322297480788657)
('investigación', 0.14292918378096392)
('creciente', 0.14252192813739223)
('sector', 0.1422466650307647)
('oficial', 0.14151845295745896)
('primer', 0.14127427210366353)
('mes', 0.14122548882775618)
('enlazar', 0.14084763640246845)
('reportó', 0.14083737016560924)
('máquina', 0.14072526658231807)
('norteamérica', 0.14064216928154866)
('depender', 0.14032928308912468)
('hablar', 0.1399300524562882)
('cantidad', 0.1395909554630264)
('altura', 0.1395390764128595)
('descartar', 0.1395390764128595)
('impulsar', 0.1395390764128595)
('inclinar', 0.1395390764128595)
('intensificar', 0.1395390764128595)
('orbe', 0.1395390764128595)
('recalcar', 0.1395390764128595)
('partir', 0.1392945981530758)
('consecuencia', 0.13925166297400418)
('convencido', 0.13925166297400415)
('nueva', 0.13917924028802683)
('resultado', 0.1390301714023175)
('necesario', 0.13894669485837496)
('eu', 0.1388325449038356)
('complicado', 0.13867504905630726)
('precio', 0.13856058345772146)
('inversión', 0.13791099338473772)
('impedir', 0.13740858372430334)
('cuanto', 0.1374085837243033)
('alguno', 0.13728129459672883)
('inaplazable', 0.13728129459672883)
('méxicocuernavaca', 0.13728129459672883)
('otorgamiento', 0.13728129459672883)
('superficie', 0.13728129459672883)
('flujo', 0.1369780776730122)
('grupo', 0.13664397773154896)
('httpwwwexcelsiorcommxexehtml', 0.1363792914508085)
('región', 0.13610893073432406)
('década', 0.13610893073432404)
('efectivo', 0.13610893073432404)
('proceso', 0.13581736367380884)
('unidad', 0.1356614384438754)
('continuar', 0.13497638119975425)
('empresario', 0.13494797408985326)
('propiedad', 0.13478207889481741)
('cumplir', 0.13477747424016345)
('lograr', 0.1343865081119636)
('equivaler', 0.1343709624716425)
('disminuir', 0.13437096247164249)
('obligado', 0.13397282541141672)
('haber', 0.13394959648615995)
('cultivar', 0.13378867023789298)
('repunte', 0.13378867023789298)
('dar', 0.13375009404306795)
('modelo', 0.13359454844348684)
('baja', 0.13318241836325834)
('generar', 0.13318241836325834)
('empleo', 0.13294863431609907)
('empleado', 0.13259870882635916)
('meta', 0.13259870882635916)
('bancario', 0.13248125169729505)
('funcionar', 0.13243786391515264)
('editorial', 0.13236615378896976)
('crimen', 0.13222147133698628)
('sociedad', 0.13222147133698628)
('desabasto', 0.13222147133698625)
('minuto', 0.13178690550103397)
('considerar', 0.13164268547907046)
('situación', 0.13160677843315918)
('angeles', 0.1315587028960544)
('combate', 0.1315587028960544)
('convicción', 0.1315587028960544)
('electrónica', 0.1315587028960544)
('lejano', 0.1315587028960544)
('modernizar', 0.1315587028960544)
('amplio', 0.13155870289605437)
('blaha', 0.13155870289605437)
('camioneras', 0.13155870289605437)
('caracterizado', 0.13155870289605437)
('ceesp', 0.13155870289605437)
('chovinismo', 0.13155870289605437)
('conasupo', 0.13155870289605437)
('concecuencia', 0.13155870289605437)
('crom', 0.13155870289605437)
('deliberación', 0.13155870289605437)
('desaliento', 0.13155870289605437)
('desempeñar', 0.13155870289605437)
('desprotegidas', 0.13155870289605437)
('eficiencia', 0.13155870289605437)
('entraña', 0.13155870289605437)
('escape', 0.13155870289605437)
('exportador', 0.13155870289605437)
('fusilar', 0.13155870289605437)
