('caso', 1.0)
('alzamiento', 0.5035075526699354)
('variar', 0.49058524935353814)
('rumbo', 0.4716795106960452)
('ningún', 0.47047291669442604)
('suelte', 0.40361632422898297)
('aun', 0.3831724142959886)
('señor', 0.3807500802738099)
('poder', 0.3744759413040672)
('injustificado', 0.37175187757932643)
('final', 0.333375001461088)
('si', 0.3106031496428618)
('gradualmente', 0.29740150206346117)
('grande', 0.29139660318730765)
('hacer', 0.28878738843653456)
('importante', 0.28684780853000846)
('decir', 0.28404762877429074)
('público', 0.28131088470842636)
('estanflación', 0.2655370554138046)
('existir', 0.26447277435579497)
('necesario', 0.2608174960833417)
('saber', 0.25944020608702434)
('información', 0.2585834509189467)
('bien', 0.25766799642484234)
('gasto', 0.25619979076171634)
('haber', 0.25536204069347385)
('reflexionar', 0.25491557319725244)
('dar', 0.25052301190551673)
('político', 0.24806438073048803)
('acertado', 0.24745300732841968)
('llegar', 0.24478945978861477)
('interesar', 0.24380058599055798)
('colosio', 0.24221411724126193)
('regional', 0.2405779957673751)
('todas', 0.24052221541778346)
('paciente', 0.2391603090598498)
('investigación', 0.23463621123890646)
('momento', 0.23280573247271052)
('mensaje', 0.23272810083590384)
('demanda', 0.23005166364448773)
('encontrar', 0.22905310292532344)
('asir', 0.22897856299328395)
('pues', 0.22853828087737277)
('cualquier', 0.22696290131275715)
('peligro', 0.2268956778260114)
('sólo', 0.22677311173467546)
('medio', 0.22632229052987496)
('cantidad', 0.22617667228574023)
('regla', 0.22388605424952257)
('aducir', 0.22305112654759587)
('guía', 0.22305112654759587)
('país', 0.22127717485755594)
('empresa', 0.21806004362773193)
('perecer', 0.21780514094571474)
('hambre', 0.21756835487999762)
('año', 0.2175607193443239)
('económico', 0.2171443798509342)
('parte', 0.21512960950920473)
('mucha', 0.21349941107159293)
('hablar', 0.21303572158071807)
('política', 0.21266587014645247)
('catastrófico', 0.21242964433104367)
('ldc', 0.21242964433104367)
('cobertura', 0.21210257771007407)
('desesperación', 0.21210257771007401)
('usted', 0.2119896791138439)
('recurso', 0.21067746026581394)
('méxico', 0.21064801939300057)
('compacto', 0.20900313507053928)
('efervescencia', 0.20900313507053928)
('peligrosamente', 0.20900313507053928)
('justicia', 0.20894720784770157)
('ello', 0.2088404364828727)
('servicio', 0.20720944498753008)
('asesino', 0.20621083944034974)
('modificar', 0.20502405174057609)
('máquina', 0.20450791854403977)
('quedar', 0.20430082764971572)
('ciento', 0.20390988368838467)
('referir', 0.2033177688827376)
('cuento', 0.20278409674256198)
('materia', 0.2018081621144915)
('pagar', 0.20076169901329569)
('social', 0.2003464603159358)
('correcto', 0.20031910117062546)
('realizar', 0.19963428773953557)
('conectar', 0.19950299256733295)
('desastre', 0.19927667032480262)
('observar', 0.19905562015102615)
('conocer', 0.19851055874566909)
('hoy', 0.19678783637135241)
('tema', 0.19664393232800667)
('punto', 0.19623409974141526)
('mayor', 0.19599004906544862)
('además', 0.19572308046249115)
('ejemplo', 0.19527357464098566)
('nodos', 0.19481084040141639)
('comentar', 0.19474765509014805)
('verdad', 0.19437130234048716)
('vender', 0.19366883780065278)
('precio', 0.19281947438970856)
('gobierno', 0.19242214787467615)
('condicionar', 0.19179443045382366)
('crecer', 0.19118667989793933)
('mismo', 0.19085171289086972)
('trabajo', 0.1901600721432122)
('tener', 0.1900216986183185)
('tiempo', 0.19000933912169465)
('situación', 0.18953351336526386)
('mexicano', 0.18889191761203006)
('registro', 0.18887532100111218)
('deber', 0.18886265978525774)
('detener', 0.18792625383274883)
('alianza', 0.1879262538327488)
('sistema', 0.18768771944339527)
('manejar', 0.18634022121908542)
('tampoco', 0.18540181482155482)
('propio', 0.18539091971567584)
('señalar', 0.18525954517221715)
('difícilmente', 0.18519187045026148)
('decidir', 0.18495203628473114)
('indicar', 0.18419986242191097)
('problema', 0.18406265610340725)
('utilizar', 0.18396946850757684)
('razonable', 0.18396946850757678)
('inflación', 0.18385496298102946)
('ir', 0.18356738035859255)
('nueva', 0.18324516042891356)
('mundo', 0.18324516042891353)
('medianía', 0.18056519768138712)
('mezcla', 0.18056519768138712)
('suéltelo', 0.1805651976813871)
('elegido', 0.18050270756092027)
('mantener', 0.1802634149238449)
('preguntar', 0.1798812580962973)
('parecer', 0.1793162508088358)
('manera', 0.17915522082790483)
('último', 0.17895148964302066)
('mayoría', 0.17867364573892486)
('actual', 0.1786471603207431)
('pedir', 0.17847040291658497)
('pensar', 0.17780831521263915)
('vivir', 0.17726306063526032)
('requerir', 0.1771907780286954)
('capital', 0.17699746694412774)
('después', 0.17693878224573276)
('ofrecer', 0.1766398888564651)
('correr', 0.17663159415152963)
('cada', 0.17649066889730083)
('adecuado', 0.17594510138211014)
('producto', 0.17593209962459302)
('citar', 0.17583246446673978)
('donaldo', 0.1758118405087955)
('evaluar', 0.1757930476850178)
('periodista', 0.1755863215827082)
('resultado', 0.17558632158270818)
('toda', 0.17466437422774703)
('determinar', 0.17452876212436808)
('trabajador', 0.17310733146123525)
('considerar', 0.1730888481884193)
('próximo', 0.17300819476274426)
('tecnología', 0.17297325375114705)
('debe', 0.17250058665136295)
('banco', 0.17178063213901665)
('emisora', 0.17135262185203032)
('verdadero', 0.17126625459762618)
('precisar', 0.17100256505771397)
('mayoral', 0.1710025650577139)
('cdrom', 0.1700798338010066)
('depender', 0.16994371546483497)
('indocumentado', 0.16994371546483497)
('forja', 0.16994371546483494)
('lectora', 0.16994371546483494)
('microfilms', 0.16994371546483494)
('martin', 0.16994371546483492)
('dato', 0.16924579171330956)
('asunto', 0.16885713008905326)
